#;Empresa;Ticker;Indice;Sector;2022 ROE;2022 ROI;2022 FCA;2022 FCN;2022 EVA;2022 M.EBITA;2022 M.EBIT;2023 ROE;2023 ROI;2023 FCA;2023 FCN;2023 EVA;2023 M.EBITA;2023 M.EBIT;2024 ROE;2024 ROI;2024 FCA;2024 FCN;2024 EVA;2024 M.EBITA;2024 M.EBIT;2025 ROE;2025 ROI;2025 FCA;2025 FCN;2025 EVA;2025 M.EBITA;2025 M.EBIT;2026 ROE;2026 ROI;2026 FCA;2026 FCN;2026 EVA;2026 M.EBITA;2026 M.EBIT
284;Citigroup;C;S&P 100;Financiero;7,38;0,61;67100000000,0;19437000000,0;;;;4,49;0,38;-79139000000,0;-79999000000,0;;;;6,08;0,54;-20051000000,0;-26169000000,0;;;;6,74;0,54;-55444000000,0;-74152000000,0;;;;6,74;0,54;-55444000000,0;-74152000000,0;;;
285;Colgate-Palmolive;CL;S&P 100;Consumo basico;445,14;11,35;2967000000,0;1860000000,0;1152332105,0;18,77;15,73;377,67;14,03;3632000000,0;3040000000,0;1730559634,0;21,82;18,91;1362,74;18,0;3045000000,0;3546000000,0;2451092578,0;24,14;21,13;3948,15;13,06;4167000000,0;3634000000,0;1700187826,0;19,41;16,32;3948,15;13,06;4167000000,0;3634000000,0;1700187826,0;19,41;16,32
286;Capital One;COF;S&P 100;Financiero;14,0;1,62;21298000000,0;12875000000,0;;;;8,41;1,02;19854000000,0;19614000000,0;;;;7,81;0,97;12533000000,0;16955000000,0;;;;2,16;0,37;17315000000,0;26140000000,0;;;;2,16;0,37;17315000000,0;26140000000,0;;;
287;ConocoPhillips;COP;S&P 100;Energia;38,91;19,91;14785000000,0;18155000000,0;12899590772,0;46,87;37,31;22,23;11,42;11125000000,0;8717000000,0;4798564172,0;45,64;30,91;14,27;7,53;8616000000,0;8006000000,0;1141749081,0;44,53;27,0;12,39;6,55;6330000000,0;7243000000,0;-31135917,0;43,07;23,56;12,39;6,55;6330000000,0;7243000000,0;-31135917,0;43,07;23,56
288;CVS Health;CVS;S&P 100;Salud;6,03;1,89;9239000000,0;13450000000,0;-6685663900,0;3,83;2,52;10,91;3,34;18327000000,0;10395000000,0;-3284415265,0;5,09;3,87;6,11;1,82;11385000000,0;6326000000,0;-6696008302,0;3,68;2,44;2,35;0,7;6028000000,0;7807000000,0;-8936444045,0;2,45;1,31;2,35;0,7;6028000000,0;7807000000,0;-8936444045,0;2,45;1,31
289;Deere & Company;DE;S&P 100;Industriales;35,19;7,92;2824000000,0;911000000,0;3184229377,0;23,56;19,87;46,67;9,77;11637000000,0;4121000000,0;6755654997,0;29,01;25,68;31,09;6,62;9293000000,0;4429000000,0;3989662742,0;29,04;24,85;19,37;4,74;4128000000,0;3231000000,0;1646869592,0;26,1;21,11;19,37;4,74;4128000000,0;3231000000,0;1646869592,0;26,1;21,11
290;Danaher;DHR;S&P 100;Salud;14,39;8,55;6436000000,0;7401000000,0;431768195,0;35,59;27,59;8,91;5,64;5161000000,0;5781000000,0;-1636784948,0;31,38;22,31;7,87;5,03;3622000000,0;5296000000,0;-1527217805,0;30,48;20,62;6,88;4,33;6316000000,0;5260000000,0;-2307187923,0;28,27;18,31;6,88;4,33;6316000000,0;5260000000,0;-2307187923,0;28,27;18,31
291;Duke Energy;DUK;S&P 100;Utilities;5,17;1,43;2612000000,0;-5440000000,0;-6699466189,0;42,96;22,65;5,78;1,61;2707000000,0;-2726000000,0;-5702731403,0;47,71;26,78;9,03;2,43;4720000000,0;48000000,0;-5755277382,0;49,4;28,26;9,58;2,54;3426000000,0;-1694000000,0;-5679563277,0;52,89;28,99;9,58;2,54;3426000000,0;-1694000000,0;-5679563277,0;52,89;28,99
292;Emerson Electric;EMR;S&P 100;Industriales;31,18;9,06;6314000000,0;2623000000,0;-172068750,0;25,37;19,27;63,89;30,92;-2968000000,0;274000000,0;-552840289,0;27,79;20,86;9,1;4,45;2346000000,0;2913000000,0;-1218678911,0;23,05;13,39;11,31;5,46;7908000000,0;2667000000,0;-40163681,0;26,86;18,43;11,31;5,46;7908000000,0;2667000000,0;-40163681,0;26,86;18,43
293;FedEx;FDX;S&P 100;Industriales;15,34;4,45;2908000000,0;3069000000,0;-1373178023,0;10,22;5,97;15,23;4,56;2522000000,0;2674000000,0;-1398562610,0;11,35;6,72;15,7;4,98;3136000000,0;3136000000,0;-1008282173,0;12,39;7,5;14,58;4,67;2981000000,0;2981000000,0;-1091898636,0;11,94;7,09;14,58;4,67;2981000000,0;2981000000,0;-1091898636,0;11,94;7,09
