#;Empresa;Ticker;Índice;Sector;2022 ROE;2022 ROI;2022 FCA;2022 FCN;2022 EVA;2022 M.EBITA;2022 M.EBIT;2023 ROE;2023 ROI;2023 FCA;2023 FCN;2023 EVA;2023 M.EBITA;2023 M.EBIT;2024 ROE;2024 ROI;2024 FCA;2024 FCN;2024 EVA;2024 M.EBITA;2024 M.EBIT;2025 ROE;2025 ROI;2025 FCA;2025 FCN;2025 EVA;2025 M.EBITA;2025 M.EBIT;2026 ROE;2026 ROI;2026 FCA;2026 FCN;2026 EVA;2026 M.EBITA;2026 M.EBIT
136;Standard Chartered;STAN.L;FTSE 100;Banca;5,94;0,36;29744000000,0;26778000000,0;;;;6,94;0,42;-197000000,0;-6845000000,0;;;;7,96;0,48;-23556000000,0;-21898000000,0;;;;9,4;0,55;35529000000,0;35484000000,0;;;;9,4;0,55;35529000000,0;35484000000,0;;;
137;Flutter Entertainment;FLTR.L;FTSE 100;Ocio;-3,34;-1,46;2780000000,0;734000000,0;-1707237966,0;10,56;-0,8;-12,19;-4,97;516000000,0;335000000,0;-2197016059,0;5,29;-5,61;1,17;0,44;677000000,0;941000000,0;-1213940000,0;11,41;3,6;-4,2;-1,3;5631000000,0;407000000,0;-1588710000,0;12,11;2,85;-4,2;-1,3;5631000000,0;407000000,0;-1588710000,0;12,11;2,85
138;Reckitt Benckiser;RKT.L;FTSE 100;Consumo;24,67;8,11;421000000,0;1954000000,0;902905328,0;27,01;22,83;19,45;6,05;1970000000,0;2187000000,0;356251628,0;21,77;18,55;21,29;5,64;2298000000,0;2217000000,0;311079087,0;20,88;17,62;41,08;12,69;1457000000,0;1682000000,0;2082574330,0;33,51;30,0;41,08;12,69;1457000000,0;1682000000,0;2082574330,0;33,51;30,0
139;BT Group;BT-A.L;FTSE 100;Telecomunicaciones;;;;;;;;13,13;3,61;3107000000,0;1417000000,0;-1003162059,0;35,72;12,84;6,83;1,65;1550000000,0;984000000,0;-1668911872,0;34,28;11,24;8,17;2,07;2509000000,0;2052000000,0;-1211758501,0;36,69;12,71;8,57;2,16;1357000000,0;1861000000,0;-1327360000,0;38,25;13,55
140;Marks & Spencer;MKS.L;FTSE 100;Distribución;;;;;;;;13,58;3,99;619600000,0;619600000,0;3600760,0;10,02;5,63;15,9;4,97;872400000,0;872400000,0;41871346,0;10,53;6,49;10,48;3,35;806100000,0;806100000,0;24088000,0;8,83;4,9;8,49;2,56;548900000,0;548900000,0;-207212434,0;7,0;3,24
141;Legal & General;LGEN.L;FTSE 100;Seguros;14,08;0,15;20485000000,0;20277000000,0;;-1,22;-1,22;9,47;0,09;-13799000000,0;-14481000000,0;;1,29;1,29;5,38;0,04;-2689000000,0;-4541000000,0;;2,48;2,48;25,93;0,1;3380000000,0;4497000000,0;;2,31;2,31;25,93;0,1;3380000000,0;4497000000,0;;2,31;2,31
142;Aviva;AV.L;FTSE 100;Seguros;-10,61;-0,34;14889000000,0;15784000000,0;;4,54;5,56;11,69;0,33;-3322000000,0;-3082000000,0;;5,01;4,55;8,22;0,19;7512000000,0;8272000000,0;;3,97;3,49;9,67;0,26;-3126000000,0;-2754000000,0;;3,58;3,17;9,67;0,26;-3126000000,0;-2754000000,0;;3,58;3,17
143;National Grid;NG.L;FTSE 100;Utilities;;;;;;;;26,4;8,41;-3346000000,0;6000000,0;-2701298719,0;33,49;24,33;7,67;2,33;3348000000,0;-514000000,0;-3484634921,0;34,42;24,04;7,68;2,72;-2122000000,0;-2498000000,0;-3457806027,0;43,2;29,71;8,25;2,99;-1535000000,0;-2746000000,0;-3356976098,0;45,67;32,97
144;Tesco;TSCO.L;FTSE 100;Distribución;;;;;;;;6,02;1,61;1763000000,0;2472000000,0;-1121449524,0;4,94;2,34;10,18;2,53;2910000000,0;2453000000,0;265172110,0;7,08;4,55;13,94;4,18;1078000000,0;1380000000,0;158894808,0;6,81;4,28;15,59;4,53;2356000000,0;2240000000,0;337602247,0;6,86;4,29
145;WPP;WPP.L;FTSE 100;Medios;18,56;2,37;256000000,0;477000000,0;125713138,0;14,08;10,53;3,26;0,41;926000000,0;1021000000,0;-274190000,0;12,87;4,95;15,6;2,12;1131000000,0;1172000000,0;83966402,0;13,17;9,82;-8,46;-0,89;968000000,0;538000000,0;-376950000,0;6,86;3,56;-8,46;-0,89;968000000,0;538000000,0;-376950000,0;6,86;3,56
146;Entain;ENT.L;FTSE 100;Ocio;0,77;0,28;994800000,0;428200000,0;-414131000,0;12,73;4,47;-40,94;-8,56;539200000,0;187500000,0;-1298763577,0;-0,94;-12,6;-29,29;-4,46;556800000,0;281000000,0;-725654923,0;10,9;-1,51;-74,92;-7,1;347200000,0;214700000,0;-783457943,0;6,06;-5,56;-74,92;-7,1;347200000,0;214700000,0;-783457943,0;6,06;-5,56
147;Taylor Wimpey;TW.L;FTSE 100;Construcción;14,3;9,93;475400000,0;475400000,0;250927065,0;19,6;19,28;7,72;5,58;122700000,0;122700000,0;-42330418,0;14,57;14,2;4,99;3,49;161500000,0;161500000,0;-164378922,0;10,64;10,22;2,4;1,66;126500000,0;126500000,0;-260946512,0;5,3;4,89;2,4;1,66;126500000,0;126500000,0;-260946512,0;5,3;4,89
148;Assoc. British Foods;ABF.L;FTSE 100;Alimentación;;;;;;;;9,41;5,54;568000000,0;581000000,0;54853731,0;12,54;8,05;13,01;7,65;1706000000,0;1690000000,0;457682546,0;15,6;10,88;9,27;5,31;999000000,0;997000000,0;11628988,0;13,64;8,56;9,27;5,31;999000000,0;997000000,0;11628988,0;13,64;8,56
149;Burberry;BRBY.L;FTSE 100;Lujo;;;;;;;;31,96;13,29;;;292152934,0;32,81;21,69;23,54;8,01;;;108168877,0;27,49;14,72;-8,21;-2,19;;;-172325455,0;17,39;0,61;2,23;0,68;145000000,0;370000000,0;-85670000,0;20,91;5,41
150;Smith & Nephew;SN.L;FTSE 100;Salud;4,24;2,24;-286000000,0;110000000,0;-350726809,0;16,76;6,25;5,04;2,63;356000000,0;181000000,0;-228221379,0;17,23;7,73;7,83;3,98;901000000,0;606000000,0;-154852048,0;21,02;11,46;11,82;5,98;766000000,0;852000000,0;59653607,0;24,85;15,54;11,82;5,98;766000000,0;852000000,0;59653607,0;24,85;15,54
151;Rightmove;RMV.L;FTSE 100;Tecnología;287,08;192,3;195243000,0;195243000,0;189763134,0;73,99;72,61;287,14;189,9;203365000,0;203365000,0;193282676,0;72,73;71,36;238,32;162,63;202192000,0;202192000,0;185961109,0;67,85;66,31;263,76;169,34;226120000,0;226120000,0;210132401,0;70,19;68,23;263,76;169,34;226120000,0;226120000,0;210132401,0;70,19;68,23
152;InterContinental Hotels;IHG.L;FTSE 100;Hoteles;-23,22;8,89;338000000,0;547000000,0;246491852,0;20,94;16,98;-38,46;15,58;1468000000,0;811000000,0;607734257,0;27,05;23,81;-27,16;13,23;933000000,0;646000000,0;544522631,0;25,29;22,34;-27,65;14,18;1408000000,0;821000000,0;637207263,0;27,27;24,46;-27,65;14,18;1408000000,0;821000000,0;637207263,0;27,27;24,46
153;Coca-Cola HBC;CCH.L;FTSE 100;Bebidas;12,66;4,21;1002600000,0;711200000,0;-80469968,0;12,03;7,63;20,58;6,44;822700000,0;776000000,0;213286846,0;13,58;9,79;25,6;7,7;1293200000,0;776500000,0;367956812,0;15,1;11,61;24,46;8,11;638500000,0;760900000,0;436316335,0;16,02;12,35;24,46;8,11;638500000,0;760900000,0;436316335,0;16,02;12,35
154;ASML Holding;ASML.AS;Euro Stoxx 50;Semiconductores;63,83;15,49;7146900000,0;7167500000,0;4072522015,0;33,54;30,78;58,27;19,62;3492200000,0;3247200000,0;5881639196,0;36,2;33,51;40,98;15,58;9079900000,0;9083100000,0;5211123532,0;35,82;32,57;49,0;19,0;10714800000,0;11027300000,0;7385901733,0;38,42;35,28;49,0;19,0;10714800000,0;11027300000,0;7385901733,0;38,42;35,28
155;Adyen;ADYEN.AS;Euro Stoxx 50;Fintech;23,35;7,4;1922060000,0;1922060000,0;362391840,0;8,9;8,19;22,16;7,3;1800297000,0;1800297000,0;435250875,0;55,43;50,84;21,86;8,1;1603527000,0;1603527000,0;592722947,0;61,01;56,32;20,1;8,67;904629000,0;904629000,0;639982514,0;58,54;53,41;20,1;8,67;904629000,0;904629000,0;639982514,0;58,54;53,41
156;ING Group;INGA.AS;Euro Stoxx 50;Banca;7,36;0,38;-1883000000,0;-11343000000,0;;;;14,22;0,75;13316000000,0;-11586000000,0;;;;12,7;0,63;-9807000000,0;-22876000000,0;;;;12,73;0,6;9102000000,0;-6731000000,0;;;;12,73;0,6;9102000000,0;-6731000000,0;;;
157;Prosus;PRX.AS;Euro Stoxx 50;Tecnología;37,15;26,26;7098000000,0;-847000000,0;13583844205,0;367,07;363,85;22,68;15,54;-335000000,0;-383000000,0;5411779555,0;211,83;208,41;16,01;10,69;938000000,0;978000000,0;2828067318,0;141,72;138,61;24,23;17,04;1881000000,0;1814000000,0;7726685640,0;216,66;214,29;24,23;17,04;1881000000,0;1814000000,0;7726685640,0;216,66;214,29
158;Enel;ENEL.MI;Euro Stoxx 50;Utilities;5,87;0,76;7827000000,0;-4593000000,0;-3058050000,0;19,59;11,01;10,83;1,76;-2133000000,0;1852000000,0;-4051172265,0;23,5;13,25;20,8;3,75;-2047000000,0;3057000000,0;-367255966,0;31,16;21,7;13,18;2,36;5597000000,0;4295000000,0;-3005158617,0;30,71;16,66;13,18;2,36;5597000000,0;4295000000,0;-3005158617,0;30,71;16,66
159;Intesa Sanpaolo;ISP.MI;Euro Stoxx 50;Banca;7,17;0,45;100428000000,0;100428000000,0;;;;12,08;0,8;-18993000000,0;-18993000000,0;;;;13,3;0,93;-41856000000,0;-41856000000,0;;;;14,29;0,97;6585000000,0;6585000000,0;;;;14,29;0,97;6585000000,0;6585000000,0;;;
160;UniCredit;UCG.MI;Euro Stoxx 50;Banca;10,2;0,75;9094000000,0;9094000000,0;;;;14,84;1,21;-42280000000,0;-42280000000,0;;;;15,57;1,24;-8816000000,0;-8816000000,0;;;;16,12;1,25;7259000000,0;7259000000,0;;;;16,12;1,25;7259000000,0;7259000000,0;;;
