#;Empresa;Ticker;Índice;Sector;2022 ROE;2022 ROI;2022 FCA;2022 FCN;2022 EVA;2022 M.EBITA;2022 M.EBIT;2023 ROE;2023 ROI;2023 FCA;2023 FCN;2023 EVA;2023 M.EBITA;2023 M.EBIT;2024 ROE;2024 ROI;2024 FCA;2024 FCN;2024 EVA;2024 M.EBITA;2024 M.EBIT;2025 ROE;2025 ROI;2025 FCA;2025 FCN;2025 EVA;2025 M.EBITA;2025 M.EBIT;2026 ROE;2026 ROI;2026 FCA;2026 FCN;2026 EVA;2026 M.EBITA;2026 M.EBIT
34;Unicaja Banco;UNI.MC;IBEX 35;Banca;4,3;0,28;-17447461000,0;-17411149000,0;;;;4,01;0,27;2747272000,0;2765272000,0;;;;8,51;0,59;-406547000,0;-406547000,0;;;;8,94;0,64;-1529603000,0;-1529603000,0;;;;8,94;0,64;-1529603000,0;-1529603000,0;;;
35;Viscofan;VIS.MC;IBEX 35;Alimentación;15,37;10,35;64065000,0;5163000,0;58860678,0;21,94;15,43;14,72;10,01;106992000,0;68584000,0;61264456,0;21,17;14,34;16,75;11,16;172833000,0;160795000,0;80400149,0;24,97;18,01;17,24;11,09;179437000,0;114922000,0;83524160,0;21,67;14,87;17,24;11,09;179437000,0;114922000,0;83524160,0;21,67;14,87
36;Adidas;ADS.DE;DAX 40;Consumo;12,26;3,02;-180000000,0;-1174000000,0;-539434433,0;8,44;2,33;-1,64;-0,42;1549000000,0;2046000000,0;-629410000,0;6,17;1,05;13,95;3,7;1873000000,0;2370000000,0;101487814,0;10,61;5,67;23,2;6,61;438000000,0;274000000,0;656063297,0;12,77;8,25;23,2;6,61;438000000,0;274000000,0;656063297,0;12,77;8,25
37;Airbus;AIR.DE;DAX 40;Aeroespacial;32,8;3,66;3824000000,0;3824000000,0;-596150148,0;13,96;9,34;21,41;3,19;3204000000,0;3204000000,0;-1023933512,0;11,87;8,44;21,59;3,28;3733000000,0;3733000000,0;-732665438,0;13,26;9,14;20,0;3,87;4031000000,0;4031000000,0;-152791181,0;13,96;9,7;20,0;3,87;4031000000,0;4031000000,0;-152791181,0;13,96;9,7
38;Allianz;ALV.DE;DAX 40;Seguros;11,8;0,69;18702000000,0;16334000000,0;;16,61;13,88;14,67;0,87;23572000000,0;22322000000,0;;12,1;10,21;16,47;0,95;33107000000,0;29988000000,0;;12,1;10,56;17,18;1,05;32838000000,0;30944000000,0;;13,38;11,8;17,18;1,05;32838000000,0;30944000000,0;;13,38;11,8
39;BASF;BAS.DE;DAX 40;Química;-1,58;-0,74;3334000000,0;3334000000,0;-3689310000,0;7,0;2,19;0,64;0,29;2716000000,0;2716000000,0;-3128670000,0;10,64;3,47;3,65;1,61;748000000,0;748000000,0;-3065063342,0;12,28;4,71;4,88;2,13;1343000000,0;1343000000,0;-2623026105,0;12,73;5,75;4,88;2,13;1343000000,0;1343000000,0;-2623026105,0;12,73;5,75
40;Bayer;BAYN.DE;DAX 40;Salud;10,7;3,32;3170000000,0;4144000000,0;-1360852848,0;25,68;12,86;-8,93;-2,53;5619000000,0;2366000000,0;-6624660000,0;21,93;0,89;-8,0;-2,3;-428000000,0;4590000000,0;-6530019949,0;18,9;0,05;-13,95;-3,46;1398000000,0;3443000000,0;-6491805024,0;4,22;-1,9;-13,95;-3,46;1398000000,0;3443000000,0;-6491805024,0;4,22;-1,9
41;Beiersdorf;BEI.DE;DAX 40;Consumo;9,7;6,11;253000000,0;249000000,0;95295474,0;15,9;12,64;8,84;5,83;240000000,0;424000000,0;36623529,0;16,72;11,97;10,76;7,01;641000000,0;794000000,0;221291704,0;17,64;14,02;10,92;7,36;315000000,0;322000000,0;239167537,0;17,36;14,03;10,92;7,36;315000000,0;322000000,0;239167537,0;17,36;14,03
42;BMW;BMW.DE;DAX 40;Automoción;20,59;7,27;4421000000,0;14473000000,0;5763396759,0;22,65;16,65;12,6;4,5;4864000000,0;6661000000,0;-479330108,0;17,19;11,42;7,9;2,72;3204000000,0;-4639000000,0;-6324428789,0;14,18;8,11;7,62;2,74;4744000000,0;-2735000000,0;-6879348363,0;14,6;8,09;7,62;2,74;4744000000,0;-2735000000,0;-6879348363,0;14,6;8,09
43;Brenntag;BNR.DE;DAX 40;Química;18,66;7,8;928700000,0;689500000,0;325586752,0;8,97;6,88;16,61;6,92;747900000,0;1342800000,0;218666680,0;8,96;6,65;11,34;4,6;1373700000,0;564400000,0;-5028331,0;8,2;5,47;6,13;2,49;640500000,0;673700000,0;-179604000,0;8,05;4,16;6,13;2,49;640500000,0;673700000,0;-179604000,0;8,05;4,16
